Nom de la borne de recharge,Nom du parc,Rue,Suite,Ville,Code Postal,Niveau de recharge,Latitude,Longitude,Coût,Mode de tarification,Type d’emplacement,Puissance (kW),Catégorie puissance
CEA-11452,10001 | BSR | ANJ | 7070 Jean-Talon,7070 rue Jean-Talon Est,,Montréal,H1M 3T4,Niveau 2,45.597136,-73.56931,1.0,par heure,sur rue,6.2,Lente
CEA-12053,10007 | BSR | ANJ | 8755 4e Croissant,8755 4e Croissant,,Montréal,H1J 1M3,Niveau 2,45.621933,-73.573054,1.0,par heure,sur rue,6.2,Lente
CEA-12027,10008 | BSR | ANJ | 8261 Haut-Anjou,8261 Haut-Anjou,,Montréal,H1J 1T8,Niveau 2,45.603003,-73.56918,1.0,par heure,sur rue,6.2,Lente
CEA-12056,10008 | BSR | ANJ | 8261 Haut-Anjou,8261 Haut-Anjou,,Montréal,H1J 1T8,Niveau 2,45.603003,-73.56918,1.0,par heure,sur rue,6.2,Lente
CEA-10172,10009 | BBHR | ANJ | 8200 ave Chénier - Aréna Chénier,8200 ave Chénier,,Montréal,H1J 2E9,Niveau 2,45.6014799,-73.5416597,1.0,par heure,,6.2,Lente
CEA-10043,10009 | BBHR | ANJ | 8200 ave Chénier - Aréna Chénier,8200 ave Chénier,,Montréal,H1J 2E9,Niveau 2,45.6014799,-73.5416597,1.0,par heure,,6.2,Lente
CEA-10148,10009 | BBHR | ANJ | 8200 ave Chénier - Aréna Chénier,8200 ave Chénier,,Montréal,H1J 2E9,Niveau 2,45.6014799,-73.5416597,1.0,par heure,,6.2,Lente
CEA-10144,10009 | BBHR | ANJ | 8200 ave Chénier - Aréna Chénier,8200 ave Chénier,,Montréal,H1J 2E9,Niveau 2,45.6014799,-73.5416597,1.0,par heure,,6.2,Lente
CEA-10928,1001 | BSR | AC | 10719 D'auteuil,"10719, Avenue d'Auteuil",,Montréal,H3L 2K7,Niveau 2,45.55327559999999,-73.6697993,1.0,par heure,sur rue,6.2,Lente
CEA-10942,1001 | BSR | AC | 10719 D'auteuil,"10719, Avenue d'Auteuil",,Montréal,H3L 2K7,Niveau 2,45.55327559999999,-73.6697993,1.0,par heure,sur rue,6.2,Lente
CEA-10183,10010 | BBHR | ANJ | 7701 Louis-H. La Fontaine,7701 Louis-H. La Fontaine,,Montréal,H1K 4B9,Niveau 2,45.601665,-73.557643,1.0,par heure,sur rue,6.2,Lente
CEA-10162,10010 | BBHR | ANJ | 7701 Louis-H. La Fontaine,7701 Louis-H. La Fontaine,,Montréal,H1K 4B9,Niveau 2,45.601665,-73.557643,1.0,par heure,sur rue,6.2,Lente
CEA-12993,10011 | BSR | ANJ | 6619 Merriam,6619 Merriam,,Montréal,H1K 1P1,Niveau 2,45.604093,-73.551504,1.0,par heure,sur rue,6.2,Lente
CEA-13088,10011 | BSR | ANJ | 6619 Merriam,6619 Merriam,,Montréal,H1K 1P1,Niveau 2,45.604093,-73.551504,1.0,par heure,sur rue,7.2,Normale
CEA-13040,10012 | BHR | ANJ | 7743 Rheaume,7743 Rheaume,,Montréal,H1K 2S2,Niveau 2,45.615923,-73.553482,1.0,par heure,,6.2,Lente
CEA-12986,10012 | BHR | ANJ | 7743 Rheaume,7743 Rheaume,,Montréal,H1K 2S2,Niveau 2,45.615923,-73.553482,1.0,par heure,,6.2,Lente
CEA-13049,10013 | BSR | ANJ | 8759 Des Sciences,8759 Des Sciences,,Montréal,H1J 1H8,Niveau 2,45.617913,-73.559252,1.0,par heure,,6.2,Lente
CEA-13036,10013 | BSR | ANJ | 8759 Des Sciences,8759 Des Sciences,,Montréal,H1J 1H8,Niveau 2,45.617913,-73.559252,1.0,par heure,,6.2,Lente
CEA-12924,10014 | BSR | ANJ | 6992 Place Antioche,6992 Place Antioche,,Montréal,H1M 2V5,Niveau 2,45.595635,-73.559549,1.0,par heure,sur rue,6.2,Lente
CEA-12927,10014 | BSR | ANJ | 6992 Place Antioche,6992 Place Antioche,,Montréal,H1M 2V5,Niveau 2,45.595635,-73.559549,1.0,par heure,sur rue,6.2,Lente
CEA-13345,10015 | BSR | ANJ | 7046 Avenue Rhéaume,7046 Avenue Rhéaume,,Montréal,H1K 2S3,Niveau 2,45.6132888,-73.5479429,1.0,par heure,,6.2,Lente
CEA-13351,10015 | BSR | ANJ | 7046 Avenue Rhéaume,7046 Avenue Rhéaume,,Montréal,H1K 2S3,Niveau 2,45.6132888,-73.5479429,1.0,par heure,,6.2,Lente
CEA-13353,10015 | BSR | ANJ | 7046 Avenue Rhéaume,7046 Avenue Rhéaume,,Montréal,H1K 2S3,Niveau 2,45.6132888,-73.5479429,1.0,par heure,,6.2,Lente
CEA-13352,10015 | BSR | ANJ | 7046 Avenue Rhéaume,7046 Avenue Rhéaume,,Montréal,H1K 2S3,Niveau 2,45.6132888,-73.5479429,1.0,par heure,,6.2,Lente
CEA-10688,10016 | BBHR | ANJ | 7051 av. de l'Alsace,"7051, Avenue de l'Alsace",,Montréal,H1J 2X8,Niveau 2,45.603715669400856,-73.5828762579174,1.0,par heure,sur rue,6.2,Lente
CEA-10703,10016 | BBHR | ANJ | 7051 av. de l'Alsace,"7051, Avenue de l'Alsace",,Montréal,H1J 2X8,Niveau 2,45.603715669400856,-73.5828762579174,1.0,par heure,sur rue,6.2,Lente
CEA-14944,10017 | BSR | ANJ | 7460 De la Nantaise,7460 Av. de la Nantaise,,Montréal,H1M 1B5,Niveau 2,45.59775,-73.552876,1.0,par heure,,6.2,Lente
CEA-14946,10017 | BSR | ANJ | 7460 De la Nantaise,7460 Av. de la Nantaise,,Montréal,H1M 1B5,Niveau 2,45.59775,-73.552876,1.0,par heure,,6.2,Lente
CEA-15306,10017 | BSR | ANJ | 7460 De la Nantaise,7460 Av. de la Nantaise,,Montréal,H1M 1B5,Niveau 2,45.59775,-73.552876,1.0,par heure,,6.2,Lente
CEA-15309,10017 | BSR | ANJ | 7460 De la Nantaise,7460 Av. de la Nantaise,,Montréal,H1M 1B5,Niveau 2,45.59775,-73.552876,1.0,par heure,,6.2,Lente
CEA-15222,10019 | BSR | ANJ | 7775 place Blain,"7775, Place de Blain",,Montréal,H1K 3T2,Niveau 2,45.607902,-73.561428,1.0,par heure,,6.2,Lente
CEA-15225,10019 | BSR | ANJ | 7775 place Blain,"7775, Place de Blain",,Montréal,H1K 3T2,Niveau 2,45.607902,-73.561428,1.0,par heure,,6.2,Lente
CEA-10755,1002 | BSR | AC | 1100 Fleury,1100 rue Fleury,,Montréal,H2C 1P9,Niveau 2,45.558804,-73.658655,1.0,par heure,sur rue,6.2,Lente
CEA-10750,1002 | BSR | AC | 1100 Fleury,1100 rue Fleury,,Montréal,H2C 1P9,Niveau 2,45.558804,-73.658655,1.0,par heure,sur rue,6.2,Lente
CEA-15198,10023 | BSR | ANJ | 7271 De La Nantaise,"7271, Avenue de la Nantaise",,Montréal,H1M 3B7,Niveau 2,45.5953916,-73.5552938,1.0,par heure,,7.2,Normale
CEA-15197,10023 | BSR | ANJ | 7271 De La Nantaise,"7271, Avenue de la Nantaise",,Montréal,H1M 3B7,Niveau 2,45.5953916,-73.5552938,1.0,par heure,,7.2,Normale
CEA-15017,10023 | BSR | ANJ | 7271 De La Nantaise,"7271, Avenue de la Nantaise",,Montréal,H1M 3B7,Niveau 2,45.5953916,-73.5552938,1.0,par heure,,7.2,Normale
CEA-15018,10023 | BSR | ANJ | 7271 De La Nantaise,"7271, Avenue de la Nantaise",,Montréal,H1M 3B7,Niveau 2,45.5953916,-73.5552938,1.0,par heure,,7.2,Normale
CEA-10583,1003 | BSR | AC | 9505 Basile-Routhier,"9505, Rue Basile-Routhier",,Montréal,H2M 1T9,Niveau 2,45.55097989999999,-73.65110030000001,1.0,par heure,sur rue,6.2,Lente
CEA-10611,1003 | BSR | AC | 9505 Basile-Routhier,"9505, Rue Basile-Routhier",,Montréal,H2M 1T9,Niveau 2,45.55097989999999,-73.65110030000001,1.0,par heure,sur rue,6.2,Lente
CEA-10902,1004 | BSR | AC | 54 Gouin,54 Boul. Gouin Est,,Montréal,H3L 1A6,Niveau 2,45.552297,-73.673625,1.0,par heure,sur rue,6.2,Lente
CEA-10901,1004 | BSR | AC | 54 Gouin,54 Boul. Gouin Est,,Montréal,H3L 1A6,Niveau 2,45.552297,-73.673625,1.0,par heure,sur rue,6.2,Lente
CEA-11014,1005 | BSR | AC | 1530 Fleury,1530 rue Fleury,,Montréal,H2C 2Y6,Niveau 2,45.562906,-73.656227,1.0,par heure,sur rue,6.2,Lente
CEA-10797,1005 | BSR | AC | 1530 Fleury,1530 rue Fleury,,Montréal,H2C 2Y6,Niveau 2,45.562906,-73.656227,1.0,par heure,sur rue,6.2,Lente
CEA-10596,1006 | BSR | AC | 1780 Fleury,1780 Fleury,,Montréal,H2C 1T4,Niveau 2,45.567582,-73.653615,1.0,par heure,sur rue,6.2,Lente
CEA-10532,1006 | BSR | AC | 1780 Fleury,1780 Fleury,,Montréal,H2C 1T4,Niveau 2,45.567582,-73.653615,1.0,par heure,sur rue,6.2,Lente
CEA-10945,1007 | BSR | AC | 11988 Obrien,11988 Boulevard O'Brien,,Montréal,H4J 1Y9,Niveau 2,45.53217,-73.706766,1.0,par heure,sur rue,6.2,Lente
CEA-10934,1007 | BSR | AC | 11988 Obrien,11988 Boulevard O'Brien,,Montréal,H4J 1Y9,Niveau 2,45.53217,-73.706766,1.0,par heure,sur rue,6.2,Lente
CEA-10941,1008 | BSR | AC | 990 Salaberry,990 Salaberry,,Montréal,H3L 3L6,Niveau 2,45.545777,-73.692268,1.0,par heure,sur rue,6.2,Lente
CEA-10930,1008 | BSR | AC | 990 Salaberry,990 Salaberry,,Montréal,H3L 3L6,Niveau 2,45.545777,-73.692268,1.0,par heure,sur rue,6.2,Lente
CEA-12966,10080 | BHR  | ANJ | 8621 Avenue Chaumont (côté Nord),8621 Avenue Chaumont,,Montréal,H1K 1N3,Niveau 2,45.610535,-73.54809,1.0,par heure,,6.2,Lente
CEA-12592,10081 | BBHR | ANJ | 7800 Métropolitain Est : Centre communautaire,7800 boul. Métropolitain Est,,Montréal,H1K 1A1,Niveau 2,45.606483,-73.563324,1.0,par heure,,6.2,Lente
CEA-10378,1009 | BSR | AC | 205 Chabanel,205 Rue Chabanel O,,Montréal,H2N 1G3,Niveau 2,45.540928,-73.653312,1.0,par heure,sur rue,6.2,Lente
CEA-10577,1009 | BSR | AC | 205 Chabanel,205 Rue Chabanel O,,Montréal,H2N 1G3,Niveau 2,45.540928,-73.653312,1.0,par heure,sur rue,6.2,Lente
CEA-10657,1010 | BSR | AC | 9699 Foucher,9699 Foucher,,Montréal,H2C 2C8,Niveau 2,45.552676,-73.65481,1.0,par heure,,6.2,Lente
CEA-10603,1010 | BSR | AC | 9699 Foucher,9699 Foucher,,Montréal,H2C 2C8,Niveau 2,45.552676,-73.65481,1.0,par heure,,6.2,Lente
CEA-10859,1011 | BSR | AC | 55 Cremazie O,55 boul. Crémazie O,,Montréal,H2N 1L3,Niveau 2,45.541031,-73.642792,1.0,par heure,sur rue,6.2,Lente
CEA-10845,1011 | BSR | AC | 55 Cremazie O,55 boul. Crémazie O,,Montréal,H2N 1L3,Niveau 2,45.541031,-73.642792,1.0,par heure,sur rue,6.2,Lente
CEA-11040,1013 | BSR | AC | 12505 Lachapelle,12505 Lachapelle,,Montréal,H4J 2N2,Niveau 2,45.531689,-73.72589,1.0,par heure,sur rue,6.2,Lente
CEA-11470,1013 | BSR | AC | 12505 Lachapelle,12505 Lachapelle,,Montréal,H4J 2N2,Niveau 2,45.531689,-73.72589,1.0,par heure,sur rue,6.2,Lente
CEA-11300,1015 | BSR | AC | 10305 St-Laurent,10305 St-Laurent,,Montréal,H3L 2M3,Niveau 2,45.548862,-73.664778,1.0,par heure,sur rue,6.2,Lente
CEA-11306,1015 | BSR | AC | 10305 St-Laurent,10305 St-Laurent,,Montréal,H3L 2M3,Niveau 2,45.548862,-73.664778,1.0,par heure,sur rue,6.2,Lente
CEA-14549,1015 | BSR | AC | 10305 St-Laurent,10305 St-Laurent,,Montréal,H3L 2M3,Niveau 2,45.548862,-73.664778,1.0,par heure,,6.2,Lente
CEA-14547,1015 | BSR | AC | 10305 St-Laurent,10305 St-Laurent,,Montréal,H3L 2M3,Niveau 2,45.548862,-73.664778,1.0,par heure,,6.2,Lente
CEA-11188,1016 | BSR | AC | 10625 Francis,10625 Rue Francis,,Montréal,H2C 3A5,Niveau 2,45.565295,-73.660453,1.0,par heure,sur rue,6.2,Lente
CEA-11303,1016 | BSR | AC | 10625 Francis,10625 Rue Francis,,Montréal,H2C 3A5,Niveau 2,45.565295,-73.660453,1.0,par heure,sur rue,6.2,Lente
CEA-11144,1017 | BSR | AC | 1545 Henri-Bourassa,1545 Henri Bourassa,,Montréal,H3M 1X7,Niveau 2,45.538203,-73.678763,1.0,par heure,,6.2,Lente
CEA-11296,1017 | BSR | AC | 1545 Henri-Bourassa,1545 Henri Bourassa,,Montréal,H3M 1X7,Niveau 2,45.538203,-73.678763,1.0,par heure,,6.2,Lente
CEA-12911,1017 | BSR | AC | 1545 Henri-Bourassa,1545 Henri Bourassa,,Montréal,H3M 1X7,Niveau 2,45.538203,-73.678763,1.0,par heure,,6.2,Lente
CEA-12872,1017 | BSR | AC | 1545 Henri-Bourassa,1545 Henri Bourassa,,Montréal,H3M 1X7,Niveau 2,45.538203,-73.678763,1.0,par heure,,6.2,Lente
CEA-11005,1018 | BSR | AC | 9335 St-Hubert,9335 rue St Hubert,,Montréal,H2M 1Y7,Niveau 2,45.552497,-73.646632,1.0,par heure,sur rue,6.2,Lente
CEA-11297,1018 | BSR | AC | 9335 St-Hubert,9335 rue St Hubert,,Montréal,H2M 1Y7,Niveau 2,45.552497,-73.646632,1.0,par heure,sur rue,6.2,Lente
CEA-10273,1019 | BSR | AC |  10905 rue Basile-Routhier : Parc Basile-Routhier,10905A rue Basile Routhier,,Montréal,H2C 3H5,Niveau 2,45.557084,-73.671649,1.0,par heure,sur rue,6.2,Lente
CEA-10258,1019 | BSR | AC |  10905 rue Basile-Routhier : Parc Basile-Routhier,10905A rue Basile Routhier,,Montréal,H2C 3H5,Niveau 2,45.557084,-73.671649,1.0,par heure,sur rue,6.2,Lente
CEA-10190,1019 | BSR | AC |  10905 rue Basile-Routhier : Parc Basile-Routhier,10905A rue Basile Routhier,,Montréal,H2C 3H5,Niveau 2,45.557084,-73.671649,1.0,par heure,,6.2,Lente
CEA-10198,1019 | BSR | AC |  10905 rue Basile-Routhier : Parc Basile-Routhier,10905A rue Basile Routhier,,Montréal,H2C 3H5,Niveau 2,45.557084,-73.671649,1.0,par heure,,6.2,Lente
CEA-11344,1020 | BSR | AC | 2503 Henri-Bourassa E.,2503 Henri-Bourassa E.,,Montréal,H2B 1V1,Niveau 2,45.578369,-73.65382,1.0,par heure,,6.2,Lente
CEA-11860,1020 | BSR | AC | 2503 Henri-Bourassa E.,2503 Henri-Bourassa E.,,Montréal,H2B 1V1,Niveau 2,45.578369,-73.65382,1.0,par heure,,6.2,Lente
CEA-11922,1021 | BSR | AC | 10940 St-Laurent,10940 Boul St-Laurent,,Montréal,H3L 2R1,Niveau 2,45.55174,-73.675833,1.0,par heure,sur rue,6.2,Lente
CEA-11921,1021 | BSR | AC | 10940 St-Laurent,10940 Boul St-Laurent,,Montréal,H3L 2R1,Niveau 2,45.55174,-73.675833,1.0,par heure,sur rue,6.2,Lente
CEA-12067,1022 | BSR | AC | 9494 Papineau,9490 papineau,,Montréal,H2M 1Z3,Niveau 2,45.563199,-73.642342,1.0,par heure,sur rue,6.2,Lente
CEA-12061,1022 | BSR | AC | 9494 Papineau,9490 papineau,,Montréal,H2M 1Z3,Niveau 2,45.563199,-73.642342,1.0,par heure,sur rue,6.2,Lente
CEA-11204,1023 | BSR | AC | 8340 Papineau,8340 Avenue Papineau,,Montréal,H2M 2R5,Niveau 2,45.555275,-73.624298,1.0,par heure,sur rue,6.2,Lente
CEA-11581,1023 | BSR | AC | 8340 Papineau,8340 Avenue Papineau,,Montréal,H2M 2R5,Niveau 2,45.555275,-73.624298,1.0,par heure,sur rue,6.2,Lente
CEA-12066,1024 | BSR | AC | 1110 Sauvé,1110 Sauvé,,Montréal,H2C 1Z9,Niveau 2,45.55656,-73.652551,1.0,par heure,,6.2,Lente
CEA-12055,1024 | BSR | AC | 1110 Sauvé,1110 Sauvé,,Montréal,H2C 1Z9,Niveau 2,45.55656,-73.652551,1.0,par heure,,6.2,Lente
CEA-12024,1025 | BSR | AC | 10001 Jules-Crépeau,10001 jules crépeau,,Montréal,H4N 2Z3,Niveau 2,45.535466,-73.669593,1.0,par heure,sur rue,6.2,Lente
CEA-12062,1025 | BSR | AC | 10001 Jules-Crépeau,10001 jules crépeau,,Montréal,H4N 2Z3,Niveau 2,45.535466,-73.669593,1.0,par heure,sur rue,6.2,Lente
CEA-12120,1026 | BSR | AC | 2425 Gouin E. - Parc de la Visitation,2425 Gouin E,,Montréal,H2B 1X7,Niveau 2,45.578392,-73.656741,1.0,par heure,sur rue,6.2,Lente
CEA-12106,1026 | BSR | AC | 2425 Gouin E. - Parc de la Visitation,2425 Gouin E,,Montréal,H2B 1X7,Niveau 2,45.578392,-73.656741,1.0,par heure,sur rue,6.2,Lente
CEA-10163,1027 | BBHR | AC | 8800 Christophe-Colomb - Complexe Claude Robillard,8800 av Christophe-Colomb,,Montréal,H2M 2E7,Niveau 2,45.55304512723416,-73.63315809673014,1.0,par heure,sur rue,6.2,Lente
CEA-10927,1027 | BBHR | AC | 8800 Christophe-Colomb - Complexe Claude Robillard,8800 av Christophe-Colomb,,Montréal,H2M 2E7,Niveau 2,45.55304512723416,-73.63315809673014,1.0,par heure,sur rue,6.2,Lente
CEA-12294,1027 | BBHR | AC | 8800 Christophe-Colomb - Complexe Claude Robillard,8800 av Christophe-Colomb,,Montréal,H2M 2E7,Niveau 2,45.55304512723416,-73.63315809673014,1.0,par heure,sur rue,6.2,Lente
CEA-12309,1027 | BBHR | AC | 8800 Christophe-Colomb - Complexe Claude Robillard,8800 av Christophe-Colomb,,Montréal,H2M 2E7,Niveau 2,45.55304512723416,-73.63315809673014,1.0,par heure,sur rue,6.2,Lente
CEA-10149,1028 | BHR | AC | 12373 Notre-Dame-Des-Anges - Parc Raimbault,12373 Notre-Dame des anges - Parc Raimbault,,Montréal,H4J 2C3,Niveau 2,45.53558,-73.717871,1.0,par heure,sur rue,6.2,Lente
CEA-10146,1028 | BHR | AC | 12373 Notre-Dame-Des-Anges - Parc Raimbault,12373 Notre-Dame des anges - Parc Raimbault,,Montréal,H4J 2C3,Niveau 2,45.53558,-73.717871,1.0,par heure,sur rue,6.2,Lente
CEA-12524,1029 | BSR | AC | 10265 St-Hubert,10265 St-Hubert,,Montréal,H2C 2H6,Niveau 2,45.556288,-73.659595,1.0,par heure,sur rue,6.2,Lente
CEA-12540,1029 | BSR | AC | 10265 St-Hubert,10265 St-Hubert,,Montréal,H2C 2H6,Niveau 2,45.556288,-73.659595,1.0,par heure,sur rue,6.2,Lente
CEA-12433,1030 | BSR | AC | 10050 Place de L'Acadie,10050 Place de L'Acadie,,Montréal,H4N 0C9,Niveau 2,45.533339,-73.679602,1.0,par heure,,6.2,Lente
CEA-12434,1030 | BSR | AC | 10050 Place de L'Acadie,10050 Place de L'Acadie,,Montréal,H4N 0C9,Niveau 2,45.533339,-73.679602,1.0,par heure,,6.2,Lente
CEA-14823,1030 | BSR | AC | 10050 Place de L'Acadie,10050 Place de L'Acadie,,Montréal,H4N 0C9,Niveau 2,45.533339,-73.679602,1.0,par heure,,6.2,Lente
CEA-14824,1030 | BSR | AC | 10050 Place de L'Acadie,10050 Place de L'Acadie,,Montréal,H4N 0C9,Niveau 2,45.533339,-73.679602,1.0,par heure,,6.2,Lente
CEA-12906,1031 | BSR | AC | 5 Chabanel,5 Chabanel,,Montréal,H2N 1N3,Niveau 2,45.544194,-73.651406,1.0,par heure,sur rue,6.2,Lente
CEA-12907,1031 | BSR | AC | 5 Chabanel,5 Chabanel,,Montréal,H2N 1N3,Niveau 2,45.544194,-73.651406,1.0,par heure,sur rue,6.2,Lente
CEA-12908,1031 | BSR | AC | 5 Chabanel,5 Chabanel,,Montréal,H2N 1N3,Niveau 2,45.544194,-73.651406,1.0,par heure,,6.2,Lente
CEA-12910,1031 | BSR | AC | 5 Chabanel,5 Chabanel,,Montréal,H2N 1N3,Niveau 2,45.544194,-73.651406,1.0,par heure,,6.2,Lente
CEA-13067,1032 | BSR | AC | 10374 Sackville,10374 Sackville,,Montréal,H2B 2W6,Niveau 2,45.577554,-73.647587,1.0,par heure,sur rue,6.2,Lente
CEA-13056,1032 | BSR | AC | 10374 Sackville,10374 Sackville,,Montréal,H2B 2W6,Niveau 2,45.577554,-73.647587,1.0,par heure,sur rue,6.2,Lente
CEA-12857,1033 | BSR | AC | 10725A St-Hubert,10725A St-Hubert,,Montréal,H2C 2J1,Niveau 2,45.55862,-73.667787,1.0,par heure,sur rue,6.2,Lente
CEA-12842,1033 | BSR | AC | 10725A St-Hubert,10725A St-Hubert,,Montréal,H2C 2J1,Niveau 2,45.55862,-73.667787,1.0,par heure,sur rue,6.2,Lente
CEA-13063,1034 | BSR | AC | 10760 Saint-Charles,10760 Saint-Charles,,Montréal,H2C 1B1,Niveau 2,45.559919,-73.667026,1.0,par heure,,6.2,Lente
CEA-12921,1034 | BSR | AC | 10760 Saint-Charles,10760 Saint-Charles,,Montréal,H2C 1B1,Niveau 2,45.559919,-73.667026,1.0,par heure,,6.2,Lente
CEA-12984,1035 | BSR | AC | 300 Chabanel,300 Chabanel,,Montréal,H2N 2L2,Niveau 2,45.539904,-73.653606,1.0,par heure,,6.2,Lente
CEA-12858,1035 | BSR | AC | 300 Chabanel,300 Chabanel,,Montréal,H2N 2L2,Niveau 2,45.539904,-73.653606,1.0,par heure,,6.2,Lente
CEA-13515,1036 | BSR | AC | 2195 Prieur,2195 Prieur,,Montréal,H2B 1N4,Niveau 2,45.57357346,-73.65304514,1.0,par heure,sur rue,6.2,Lente
CEA-13781,1036 | BSR | AC | 2195 Prieur,2195 Prieur,,Montréal,H2B 1N4,Niveau 2,45.57357346,-73.65304514,1.0,par heure,sur rue,6.2,Lente
CEA-13841,1037 | BSR | AC | 12022 Taylor,"12022, Boulevard Taylor",,Montréal,H3M 2J8,Niveau 2,45.53914366,-73.69805472,1.0,par heure,,6.2,Lente
CEA-13842,1037 | BSR | AC | 12022 Taylor,"12022, Boulevard Taylor",,Montréal,H3M 2J8,Niveau 2,45.53914366,-73.69805472,1.0,par heure,,6.2,Lente
CEA-13849,1037 | BSR | AC | 12022 Taylor,"12022, Boulevard Taylor",,Montréal,H3M 2J8,Niveau 2,45.53914366,-73.69805472,1.0,par heure,,6.2,Lente
CEA-13843,1037 | BSR | AC | 12022 Taylor,"12022, Boulevard Taylor",,Montréal,H3M 2J8,Niveau 2,45.53914366,-73.69805472,1.0,par heure,,6.2,Lente
CEA-13413,1038 | BSR | AC | 12348 rue Ranger,12348 rue Ranger,,Montréal,H4J 2L5,Niveau 2,45.5322009,-73.72094607,1.0,par heure,,6.2,Lente
CEA-13407,1038 | BSR | AC | 12348 rue Ranger,12348 rue Ranger,,Montréal,H4J 2L5,Niveau 2,45.5322009,-73.72094607,1.0,par heure,,6.2,Lente
